alpha,r,a,b,t_v,t_b,e_miss,l_hit,num_valid_k,is_unimodal,best_k,best_mu,first_valid_k,last_valid_k,invalid_reasons,enough_valid,valid_unimodal
0.5,0.3,0.1,0.1,10.0,0.5,1.0,1.0,4,True,2,1.1784415767793177,1,4,fanout,True,True
0.5,0.3,0.1,0.1,10.0,1.0,1.0,1.0,4,True,1,1.0265039397147768,1,4,fanout,True,True
0.5,0.3,0.1,0.1,10.0,2.0,1.0,1.0,4,True,1,0.8300024861138519,1,4,fanout,True,True
0.5,0.3,0.1,0.1,20.0,0.5,1.0,1.0,5,True,2,1.2711431746195407,1,5,fanout,True,True
0.5,0.3,0.1,0.1,20.0,1.0,1.0,1.0,5,True,2,1.1079039799528896,1,5,fanout,True,True
0.5,0.3,0.1,0.1,20.0,2.0,1.0,1.0,5,True,1,0.9142347272109163,1,5,fanout,True,True
0.5,0.3,0.1,0.1,40.0,0.5,1.0,1.0,6,True,3,1.353324387932062,1,6,fanout,True,True
0.5,0.3,0.1,0.1,40.0,1.0,1.0,1.0,6,True,2,1.2026789091434278,1,6,fanout,True,True
0.5,0.3,0.1,0.1,40.0,2.0,1.0,1.0,6,True,1,0.9925767613868504,1,6,fanout,True,True
0.5,0.3,0.1,0.1,80.0,0.5,1.0,1.0,7,True,3,1.4399343807178149,1,7,fanout,True,True
0.5,0.3,0.1,0.1,80.0,1.0,1.0,1.0,7,True,2,1.286665091262228,1,7,fanout,True,True
0.5,0.3,0.1,0.1,80.0,2.0,1.0,1.0,7,True,2,1.0854874076739787,1,7,fanout,True,True
0.5,0.3,0.2,0.01,10.0,0.5,1.0,1.0,8,True,3,1.4585346366790226,1,8,fanout,True,True
0.5,0.3,0.2,0.01,10.0,1.0,1.0,1.0,8,True,3,1.308235400443179,1,8,fanout,True,True
0.5,0.3,0.2,0.01,10.0,2.0,1.0,1.0,8,True,2,1.1105442586937992,1,8,fanout,True,True
0.5,0.3,0.2,0.01,20.0,0.5,1.0,1.0,9,True,4,1.5347373295429805,1,9,fanout,True,True
0.5,0.3,0.2,0.01,20.0,1.0,1.0,1.0,9,True,3,1.399830070542384,1,9,fanout,True,True
0.5,0.3,0.2,0.01,20.0,2.0,1.0,1.0,9,True,2,1.2020181858336645,1,9,fanout,True,True
0.5,0.3,0.2,0.01,40.0,0.5,1.0,1.0,10,True,4,1.6056141633840602,1,10,fanout,True,True
0.5,0.3,0.2,0.01,40.0,1.0,1.0,1.0,10,True,3,1.477668983758833,1,10,fanout,True,True
0.5,0.3,0.2,0.01,40.0,2.0,1.0,1.0,10,True,3,1.2911224413216964,1,10,fanout,True,True
0.5,0.3,0.2,0.01,80.0,0.5,1.0,1.0,11,True,5,1.6652579615301066,1,11,fanout,True,True
0.5,0.3,0.2,0.01,80.0,1.0,1.0,1.0,11,True,4,1.552906961406101,1,11,fanout,True,True
0.5,0.3,0.2,0.01,80.0,2.0,1.0,1.0,11,True,3,1.3780321479304798,1,11,fanout,True,True
0.5,0.3,0.2,0.02,10.0,0.5,1.0,1.0,7,True,3,1.3755345432741273,1,7,fanout,True,True
0.5,0.3,0.2,0.02,10.0,1.0,1.0,1.0,7,True,2,1.2263245979134516,1,7,fanout,True,True
0.5,0.3,0.2,0.02,10.0,2.0,1.0,1.0,7,True,1,1.014492108252951,1,7,fanout,True,True
0.5,0.3,0.2,0.02,20.0,0.5,1.0,1.0,8,True,3,1.461996227929142,1,8,fanout,True,True
0.5,0.3,0.2,0.02,20.0,1.0,1.0,1.0,8,True,3,1.3124644317816505,1,8,fanout,True,True
0.5,0.3,0.2,0.02,20.0,2.0,1.0,1.0,8,True,2,1.113306083857671,1,8,fanout,True,True
0.5,0.3,0.2,0.02,40.0,0.5,1.0,1.0,9,True,4,1.5369601054076647,1,9,fanout,True,True
0.5,0.3,0.2,0.02,40.0,1.0,1.0,1.0,9,True,3,1.4016368910174601,1,9,fanout,True,True
0.5,0.3,0.2,0.02,40.0,2.0,1.0,1.0,9,True,2,1.2032558766857262,1,9,fanout,True,True
0.5,0.3,0.2,0.02,80.0,0.5,1.0,1.0,10,True,4,1.606535837288022,1,10,fanout,True,True
0.5,0.3,0.2,0.02,80.0,1.0,1.0,1.0,10,True,3,1.4784418908800299,1,10,fanout,True,True
0.5,0.3,0.2,0.02,80.0,2.0,1.0,1.0,10,True,3,1.2921150854122259,1,10,fanout,True,True
0.5,0.3,0.2,0.05,10.0,0.5,1.0,1.0,5,True,2,1.2673616534390038,1,5,fanout,True,True
0.5,0.3,0.2,0.05,10.0,1.0,1.0,1.0,5,True,2,1.1034890046263566,1,5,fanout,True,True
0.5,0.3,0.2,0.05,10.0,2.0,1.0,1.0,5,True,1,0.912457527013436,1,5,fanout,True,True
0.5,0.3,0.2,0.05,20.0,0.5,1.0,1.0,6,True,3,1.3502445612013563,1,6,fanout,True,True
0.5,0.3,0.2,0.05,20.0,1.0,1.0,1.0,6,True,2,1.2007282892726294,1,6,fanout,True,True
0.5,0.3,0.2,0.05,20.0,2.0,1.0,1.0,6,True,1,0.9917606125394683,1,6,fanout,True,True
0.5,0.3,0.2,0.05,40.0,0.5,1.0,1.0,7,True,3,1.4386283306053282,1,7,fanout,True,True
0.5,0.3,0.2,0.05,40.0,1.0,1.0,1.0,7,True,2,1.2858098445549613,1,7,fanout,True,True
0.5,0.3,0.2,0.05,40.0,2.0,1.0,1.0,7,True,2,1.0844529003925456,1,7,fanout,True,True
0.5,0.3,0.2,0.05,80.0,0.5,1.0,1.0,9,True,4,1.5134707254807165,1,9,fanout,True,True
0.5,0.3,0.2,0.05,80.0,1.0,1.0,1.0,9,True,3,1.3757551339110594,1,9,fanout,True,True
0.5,0.3,0.2,0.05,80.0,2.0,1.0,1.0,9,True,2,1.176266932334549,1,9,fanout,True,True
0.5,0.3,0.2,0.1,10.0,0.5,1.0,1.0,4,True,2,1.1755219683345381,1,4,fanout,True,True
0.5,0.3,0.2,0.1,10.0,1.0,1.0,1.0,4,True,1,1.0254023469507065,1,4,fanout,True,True
0.5,0.3,0.2,0.1,10.0,2.0,1.0,1.0,4,True,1,0.8287426812089366,1,4,fanout,True,True
0.5,0.3,0.2,0.1,20.0,0.5,1.0,1.0,5,True,2,1.269898268992282,1,5,fanout,True,True
0.5,0.3,0.2,0.1,20.0,1.0,1.0,1.0,5,True,2,1.1064495479885814,1,5,fanout,True,True
