n,alpha_spread,capacity,sum_kstar,rho,regime,all_clients_concave,greedy_obj,dp_obj,milp_obj,greedy_minus_dp,dp_minus_milp,greedy_is_optimal,alloc_matches_dp,greedy_alloc,dp_alloc
3,0.18,10,15,1.5,binding,True,8.626047075971798,8.626047075971798,8.6260470759718,0.0,-1.7763568394002505e-15,True,True,2|3|5,2|3|5
3,0.18,11,15,1.3636363636363635,binding,True,8.808799341537245,8.808799341537245,8.808799341537247,0.0,-1.7763568394002505e-15,True,True,2|4|5,2|4|5
3,0.18,12,15,1.25,binding,True,8.934468552178679,8.934468552178679,8.93446855217868,0.0,-1.7763568394002505e-15,True,True,2|4|6,2|4|6
3,0.18,13,15,1.1538461538461537,binding,True,9.059374712081686,9.059374712081686,9.059374712081686,0.0,0.0,True,True,3|4|6,3|4|6
3,0.18,14,15,1.0714285714285714,binding,True,9.114091613339783,9.114091613339783,9.114091613339783,0.0,0.0,True,True,3|5|6,3|5|6
3,0.18,15,15,1.0,slack,True,9.150822318897987,9.150822318897987,9.150822318897987,0.0,0.0,True,True,4|5|6,4|5|6
3,0.18,16,15,0.9375,slack,True,9.150822318897987,9.150822318897987,9.150822318897976,0.0,1.0658141036401503e-14,True,True,4|5|6,4|5|6
3,0.18,17,15,0.8823529411764706,slack,True,9.150822318897987,9.150822318897987,9.150822318897989,0.0,-1.7763568394002505e-15,True,True,4|5|6,4|5|6
3,0.18,18,15,0.8333333333333334,slack,True,9.150822318897987,9.150822318897987,9.150822318897987,0.0,0.0,True,True,4|5|6,4|5|6
3,0.18,19,15,0.7894736842105263,slack,True,9.150822318897987,9.150822318897987,9.150822318897989,0.0,-1.7763568394002505e-15,True,True,4|5|6,4|5|6
5,0.0,5,25,5.0,binding,True,8.561291310595982,8.561291310595982,8.561291310595982,0.0,0.0,True,True,1|1|1|1|1,1|1|1|1|1
5,0.0,6,25,4.166666666666667,binding,True,9.0546377176594,9.0546377176594,9.0546377176594,0.0,0.0,True,True,2|1|1|1|1,2|1|1|1|1
5,0.0,7,25,3.5714285714285716,binding,True,9.547984124722818,9.547984124722818,9.547984124722818,0.0,0.0,True,True,2|2|1|1|1,2|2|1|1|1
5,0.0,8,25,3.125,binding,True,10.041330531786237,10.041330531786237,10.041330531786237,0.0,0.0,True,True,2|2|2|1|1,2|2|2|1|1
5,0.0,9,25,2.7777777777777777,binding,True,10.534676938849655,10.534676938849655,10.534676938849655,0.0,0.0,True,True,2|2|2|2|1,2|2|2|2|1
5,0.0,10,25,2.5,binding,True,11.028023345913073,11.028023345913073,11.028023345913073,0.0,0.0,True,True,2|2|2|2|2,2|2|2|2|2
